Name,Routes
Dilshad Garden G. T. B. Road,"[{'name': '236A', 'mode': 5, 'dir': 'Punjabi Bagh Terminal'}]"
Noida Sector-58,"[{'name': '492', 'mode': 5, 'dir': 'Noida Sector-62'}]"
Noida Sector-12,"[{'name': '392', 'mode': 5, 'dir': 'Noida Sector-62'}]"
Noida Sector-12 22,"[{'name': '392', 'mode': 5, 'dir': 'Mayapuri Depot'}]"
Noida Stadium,"[{'name': '355', 'mode': 5, 'dir': 'Anand Parbat'}]"
Sector-9/10 (Sec-20) Police Station,"[{'name': '319', 'mode': 5, 'dir': 'Shahadra Terminal'}, {'name': '319A', 'mode': 5, 'dir': 'Shahadra Terminal'}]"
Noida Sector 11,"[{'name': '493', 'mode': 5, 'dir': 'Mehrauli Terminal'}]"
Noida Sector 10,"[{'name': '34A', 'mode': 5, 'dir': 'Lado Sarai Crossing'}]"
Chaura X-Ing,"[{'name': '319', 'mode': 5, 'dir': 'Shashi Chowk Sector-36&39'}, {'name': '319A', 'mode': 5, 'dir': 'Shashi Chowk 36&39'}]"
Noida Sector 22,"[{'name': '355', 'mode': 5, 'dir': 'Noida Sector 32'}]"
Chora More,"[{'name': '493', 'mode': 5, 'dir': 'Mehrauli Terminal'}]"
Noida Sector 12,"[{'name': '355', 'mode': 5, 'dir': 'Anand Parbat'}]"
